Wind speed;Power;Wind direction
0.8;0;76.099998
0.6;0;93.400002
0.7;0;61.299999
0.6;0;73.400002
0.4;0;94.700005
0.9;0;123.700005
1;0;79.099998
1.1;0;72.700005
0.7;0;85.900002
0.3;0;82.099998
0.6;0;63.799999
0.3;0;50.400002
0.4;0;28.200001
0.5;0;91.900002
0.4;0;99.800003
0.2;0;188.400009
0.9;0;132.600006
0.5;0;136.800003
0.7;0;125.300003
0.3;0;46
0.4;0;132.699997
0.6;0;77.700005
0.5;0;46.400002
0.3;0;93.200005
0.4;0;53.100002
0.4;0;66.700005
0.3;0;105.099998
0.1;0;33.900002
0.2;0;33.5
0.1;0;33
0.2;0;37.700001
0;0;37.799999
0;0;37.600002
0.1;0;29.800001
0;0;29.800001
0;0;30
0;0;29.9
0;0;5.4
0.3;0;249.900009
0.7;0;214.400009
0.9;0;211.600006
0.9;0;233.300003
0.9;0;219.400009
0.5;0;217.699997
0.4;0;209.800003
0.4;0;189.5
0.9;0;193.600006
0.7;0;194.5
0.7;0;194.300003
0.5;0;193.900009
0.5;0;194.300003
0.8;0;194.199997
0.7;0;191.900009
0.6;0;188.100006
0.5;0;210.900009
0.6;0;182.5
1.1;0;193.600006
0.8;0;199.699997
0.8;0;202.600006
0.6;0;218
0.6;0;215.900009
0.8;0;202.5
0.9;0;192.400009
0.9;0;195.100006
1;0;198.300003
1;0;204
0.6;0;218.600006
0.6;0;233.900009
0.7;0;233.900009
0.4;0;207.400009
1;0;212.300003
0.8;0;212.5
0.9;0;205.100006
1;0;207.699997
0.7;0;194.300003
0.7;0;230.800003
1.1;0;203.5
1.3;0;223.300003
1.1;0;213.199997
1;0;209
1.1;0;197.5
1.1;0;188.600006
1.3;0;205.699997
1.6;0;211.400009
1.6;0;216.199997
1.5;0;215.699997
0.9;0;258.200012
1.1;0;249.900009
1.2;0;225.100006
1.8;0;220
0.9;0;256.100006
1.1;0;210.199997
1;0;213.699997
1.5;0;228.199997
1.1;0;215.300003
1.7;0;231.699997
1.8;0;223.800003
1.6;0;245.100006
1.4;0;232.600006
1.1;0;250.5
1.2;0;192.199997
1.6;0;250.800003
2.9;0;237.300003
5.9;0;260.399994
5.2;0;257.200012
8.199999999999999;0;312.399994
7.5;0;309.899994
10.1;0;312.300018
8.5;0;314
5.6;0;334.100006
7.6;0;317
7.9;0.6;279.100006
6.5;1.5;292.5
6.9;4.9;352.899994
5.8;2.6;338.700012
6.4;3;302.200012
6;1.5;359
4.6;1.9;332.899994
6.8;4.4;294.5
5.2;2.2;298.700012
4.9;1.6;307.899994
8;10;322.700012
4.5;0;318.899994
6.4;0;334.600006
4.2;0;322.600006
5.2;0;339
5.1;0;321
5.9;0;324.5
4.1;0;7.6
7.9;3.4;308.800018
6.3;3.5;340.700012
5.8;1.6;326.100006
3.4;2.6;296.399994
6.1;1.1;337.200012
5.5;1.6;339.600006
4.4;1.6;356.600006
5.4;4;359.600006
5.9;2.2;349.300018
5.9;2.6;339
4.6;1.4;349.899994
6.6;5;301.100006
5.4;3.3;338.5
4.6;1.8;334.800018
6.3;3.6;318.600006
4.5;1.5;323.200012
6.1;2.7;340.5
5.1;3.6;333.600006
7.5;6.2;315.600006
8.300000000000001;7.6;347.5
4.3;1.3;322.5
6;3.4;0.1
4.9;2.5;342.800018
4.9;2.1;21.6
5.4;1.2;343.5
6.4;4.8;8.900001
3.2;0.5;344.100006
4.8;2.5;16
2.7;1.5;348.800018
4.3;1.2;9.199999999999999
4;0;331.399994
2.8;0;27.5
2.3;0.3;342.800018
3.2;0.7;307.899994
3.1;0;24.1
5.3;1.4;342.700012
5.1;1.7;349.800018
5.2;2.3;348.100006
1.1;0;329.800018
4.4;1.7;331.300018
4.3;1.2;311.5
2.8;0.5;41.200001
5.2;1.9;343.899994
4.1;1.7;44.600002
5.2;0.2;37.100002
6.3;2.9;32.100002
4.4;1.9;18
4;1.3;339.700012
4;0;339.300018
6.6;6.5;24.4
4.5;1.4;344
3.2;0;24.9
4.4;1.3;352.899994
6;3.4;335.300018
5.7;4.4;31.300001
3.4;1.1;30.6
4.4;2.6;18.200001
3.4;0.8;10.7
3.7;1.2;37.600002
3.7;0.6;39.900002
5.2;2.5;345.5
6.8;3.6;40.299999
3.6;0.6;8.5
7;0;47.100002
3.1;0;325.800018
5.1;0;351.700012
6.7;0;13.6
3.7;0;45.299999
1.7;0;154.100006
4.8;0;33.200001
5;0;8.699999999999999
4.2;0;34.600002
5.1;0;34.799999
3.3;0;339.100006
4.8;0;26.1
4.2;0;40.600002
3.4;0;62.900002
4.2;1.5;16.4
3.7;0.3;2.8
3.6;0;18.5
3.5;1.4;4.3
6.1;5.5;5.5
3.7;0.7;10.8
5.6;2.7;23.6
5.4;2;3
4.2;0;6.8
3.5;0.7;3.8
2.6;0;15.6
3.6;0.2;11.400001
5;1.6;353.800018
4.8;2.9;20.4
2.8;1.1;348.300018
4.3;1.7;18.4
3.5;0.4;359.300018
4.2;1.7;14.3
2.1;0.3;29.6
5;1.7;37
4.3;2.5;38.5
5.2;2.6;357.399994
4.3;1.2;24
4.4;1.3;1.5
5.5;3.2;28.1
